name,country,coach_nickname,coach_name
Asterion,Netherlands,PeterG,Peter Gordijn
Berzerk,Switzerland,,
Sprout,Germany,tow b,Tobias Herberhold
Team Endpoint,United Kingdom,jakem,Jake McCausland
Defusekids,Belgium,Shk,Henrik Symkens
against All authority,France,pm,Arthur Guillermet
nerdRage,United Kingdom,esi,Harley Fernandez de Mayo
ALTERNATE aTTaX,Germany,mithR,Torbjørn Nyborg
AT Gaming,Netherlands,,
BIG,Germany,kakafu,Alexander Szymanczyk
BLUEJAYS,Denmark,,
CAZ eSports,United Kingdom,Caspian,Callum Brawn
CeX,United Kingdom,,
DeadPixels,Switzerland,,
DIVIZON,Germany,Aimlevel,Christian Strauß
EnRo GRIFFINS,Germany,tob1,Tobias  Kolodzeiski
EURONICS Gaming,Germany,,
FAB Games eSport,Germany,,
G2 Esports,Spain,SmithZz,Edouard Dubourdeaux
mousesports,Germany,lmbt,Sergey Bezhanov
nerdRage,United Kingdom,esi,Harley Fernandez de Mayo
Planetkey Dynamics,Germany,,
Playing Ducks,Germany,,
Team EnVyUs,USA,maLeK,Damien Marcel
Team Infused,United Kingdom,,
Team LDLC.com,France,Ozstrik3r,Steeve Flavigni
PANTHERS Gaming,Germany,,
Vination eSports e.V.,Germany,,
War Legend,France,,
Crowns Esports Club,Sweden,Zyppe,Samuel Martinsson
Team Singularity,Denmark,AntO_oNNNn,Anton Van Gorp
Planet Odd Female,Sweden,,
OpTic Gaming,USA,ImAPet,Chet Singh
Astralis,Denmark,zonic,Danny Sørensen
Epsilon eSports,Belgium,keita,Jamie Hall
FaZe Clan,USA,RobbaN,Robert Dahlström
Fnatic,United Kingdom,Jumpy,Jimmy Berndtsson
GODSENT,Sweden,naSu,Niko Kovanen
Heroic,Denmark,peacemaker,Luis Tadeu
Iwku Gaming,Sweden,,
Ninjas in Pyjamas,Sweden,pita,Faruk Pita
No Problem!,Denmark,,
North,Denmark,ave,Alexander Holdt
Paranoia eSports,Finland,,
RCTIC eSports,Finland,,
SkitLite,United Kingdom,,
Tricked Esport,Denmark,,
Wizards e-Sports Club,Spain,,
Xapso,Denmark,,
Kingpins Esports,Norway,,
NOREG,Norway,,
Izako Boars,Poland,,
Venatores,Poland,IMD,Adrian Pieper
Valiance & Co,Germany,soLo,Darko Mitić
eXtatus,Czech Republic,KETUBOR,Michal Csontoš
Team Spirit,Russia,,
HellRaisers,Ukraine,Johnta,Ivan Shevtsov
Pride Gaming,Poland,,
Elements Pro Gaming,Russia,,
Nemiga Gaming,Belarus,keep3r,Yuriy Mikulchik
ALSEN Team,Poland,,
eSuba,Czech Republic,benq1,Tomáš Masaryk
eXtatus,Czech Republic,KETUBOR,Michal Csontoš
FlipSid3 Tactics,USA,,
FLuffy Gangsters,Russia,,
Gambit Esports,United Kingdom,Andi,Andrey Prokhorov
HellRaisers,Ukraine,Johnta,Ivan Shevtsov
Natus Vincere,Ukraine,kane,Mykhailo Blagin
Nexus Gaming,Romania,,
OnlineBOTS,Estonia,,
PRIES,Russia,,
Pride Gaming,Poland,,
Team Kinguin,Poland,Loord,Mariusz Cybulski
Team Preparation,Sweden,,
Team Refuse,Greece,Ynli,Zygimantas Sypalis
Space Jam,Russia,,
Space Soldiers,Turkey,hardstyle,Canpolat Yildiran
Virtus.pro,Russia,kuben,Jakub Gurczyński
forZe,Russia,5TRYK#R,Rustam Alimkulov
GameAgents,Serbia,,
Vega Squadron,Russia,Fierce,Artem Ivanov
Vexed Gaming,Denmark,,
XPC Gaming,Romania,starkiller,Ioan-Alexandru Neacsu
Team eu4ia,Spain,,
Baskonia eSports,Spain,goblaNz,Fernando Peramo García
gBots,Spain,Adrig6,Adrià Gispert
KPI Gaming,Spain,,
SUMMA.GG,Spain,,
x6tence,Spain,OvaX,Álvaro Gómez
Giants Gaming,Spain,AIm,Ricardo Almeida
FRENCH CANADIANS,Canada,,
Team One,Brazil,cky,Olavo Napoleão
Sharks Esports,Portugal,coachi,Hélder Sancho
GX,USA,JamezIRL,James Macaulay
No Tenemos Nada,Argentina,pino,Rodrigo Manarino
Cloud9,USA,valens,Soham Chowdhury
compLexity Gaming,USA,Rambo,Ronald Kim
Force of Nature,Chile,,
Immortals,USA,,
INTZ eSports,Brazil,,
Luminosity Gaming,Canada,Apoka,Alessandro Marcucci
Doral Flamingos e-Sports,USA,Rew4z,Hugo Cáceres
NRG Esports,USA,Immi,Ian Harding
Operation Kino,Brazil,,
Team Liquid,Netherlands,zews,Wilton Prado
Ronin Esports,USA,flowsicK,Kyle Mendez
SK Gaming,Germany,,
2Kill Gaming,Brazil,,
CheckSix Gaming,USA,joseph,Joseph Burkhart
Tempo Storm,USA,,
Pichau,Brazil,,
Splyce,USA,Eley,Zachary Stauffer
Ghost Gaming,USA,MAiNLiNE,Michael Jaber
Ghost Academy,USA,kenny-1os-,Kenny Dang
Rise Nation,USA,osorandom,Jared Hartman
Rogue,USA,,
Ronin Esports,USA,flowsicK,Kyle Mendez
FURIA eSports,Brazil,guerri,Nicholas Nogueira
Counter Logic Gaming Red,USA,cubed,Cody Thaw
Misfits,Germany,,
Keyd Stars,Brazil,rock,Felipe
Torqued,USA,JamezIRL,James Macaulay
Chiefs eSports Club,Australia,,
ORDER,Australia,dayV1D,Matt David
Athletico Esports,Australia,,
Avant Garde,Australia,,
Chiefs eSports Club,Australia,,
Team Immunity,Australia,,
Legacy Esports,Australia,,
Renegades,USA,kassad,Aleksandar Trifunović
SYF Gaming,Australia,busta,Stephen Brewer
Tainted Minds,Australia,ferg,Fergus Stephenson
Trident Esports,Australia,,
RES Gaming,United Arab Emirates,,
Entity Gaming,India,,
ENZO,Hong Kong,,
EMC,Hong Kong,,
ExsequoR,Singapore,,
Inchk1ng,Hong Kong,,
Mineski,Philippines,,
Made in Thailand,Thailand,,
MVP PK,South Korea,termi,Pyeon Seon-ho
Orange Esports,Malaysia,,
Recca Esports,Indonesia,,
Signature Gaming,Thailand,,
Team nxl>,Indonesia,,
Team Yetti,South Korea,core,Ahn Hyung-jin
The MongolZ,Mongolia,maaRaa,Erdenedalai Bayanbat
Threats,Vietnam,,
TyLoo,China,,
Wings Gaming,China,p3rch,Jie Zhang
EXECUTIONERS,Indonesia,bali,Andrew Joseph
wNv Teamwork,China,Sir,Zheng Zhang
Flash Gaming,China,z8z,ZhengHui Liu
Aperture Gaming,South Africa,,
Bravado Gaming,South Africa,T.C,Tiaan Coertzen
Damage Control,South Africa,,
eNergy eSports,South Africa,,
